i,j,k,l,AAAA,AAAB,AABA,AABB,AABC,ABAA,ABAB,ABAC,ABBA,BAAA,ABBC,CABC,BACA,BCAA,ABCD
4,3,1,2,832577,20558,27291,7836,706,27149,7852,716,1427,67905,1165,640,2009,2109,60
4,3,2,1,832577,27291,20558,7836,706,27149,1427,640,7852,67905,2009,716,1165,2109,60
4,1,3,2,832577,20558,27149,7852,716,27291,7836,706,1427,67905,1165,640,2109,2009,60
4,1,2,3,832577,27149,20558,7852,716,27291,1427,640,7836,67905,2109,706,1165,2009,60
4,2,3,1,832577,27291,27149,1427,640,20558,7836,706,7852,67905,2009,716,2109,1165,60
4,2,1,3,832577,27149,27291,1427,640,20558,7852,716,7836,67905,2109,706,2009,1165,60
3,4,1,2,832577,20558,27291,7836,706,67905,1427,1165,7852,27149,716,2009,640,2109,60
3,4,2,1,832577,27291,20558,7836,706,67905,7852,2009,1427,27149,640,1165,716,2109,60
3,1,4,2,832577,20558,67905,1427,1165,27291,7836,706,7852,27149,716,2009,2109,640,60
3,1,2,4,832577,67905,20558,1427,1165,27291,7852,2009,7836,27149,2109,706,716,640,60
3,2,4,1,832577,27291,67905,7852,2009,20558,7836,706,1427,27149,640,1165,2109,716,60
3,2,1,4,832577,67905,27291,7852,2009,20558,1427,1165,7836,27149,2109,706,640,716,60
1,4,3,2,832577,20558,27149,7852,716,67905,1427,1165,7836,27291,706,2109,640,2009,60
1,4,2,3,832577,27149,20558,7852,716,67905,7836,2109,1427,27291,640,1165,706,2009,60
1,3,4,2,832577,20558,67905,1427,1165,27149,7852,716,7836,27291,706,2109,2009,640,60
1,3,2,4,832577,67905,20558,1427,1165,27149,7836,2109,7852,27291,2009,716,706,640,60
1,2,4,3,832577,27149,67905,7836,2109,20558,7852,716,1427,27291,640,1165,2009,706,60
1,2,3,4,832577,67905,27149,7836,2109,20558,1427,1165,7852,27291,2009,716,640,706,60
2,4,3,1,832577,27291,27149,1427,640,67905,7852,2009,7836,20558,706,2109,716,1165,60
2,4,1,3,832577,27149,27291,1427,640,67905,7836,2109,7852,20558,716,2009,706,1165,60
2,3,4,1,832577,27291,67905,7852,2009,27149,1427,640,7836,20558,706,2109,1165,716,60
2,3,1,4,832577,67905,27291,7852,2009,27149,7836,2109,1427,20558,1165,640,706,716,60
2,1,4,3,832577,27149,67905,7836,2109,27291,1427,640,7852,20558,716,2009,1165,706,60
2,1,3,4,832577,67905,27149,7836,2109,27291,7852,2009,1427,20558,1165,640,716,706,60
